,prob1,prob2,influence,multilinear_influence,absolute_error
45,0.1,0.15000000000000002,0.7476,0.7617860000000002,0.014186000000000143
46,0.1,0.2,0.9022,0.8885280000000002,0.013671999999999795
47,0.1,0.25,0.9964,1.0152700000000001,0.018870000000000164
48,0.1,0.30000000000000004,1.1226,1.1420120000000002,0.019412000000000207
49,0.1,0.35000000000000003,1.2814,1.2687540000000004,0.012645999999999713
50,0.1,0.4,1.4154,1.395496,0.019903999999999922
51,0.1,0.45,1.602,1.5222380000000002,0.07976199999999989
52,0.1,0.5,1.686,1.6489800000000001,0.03701999999999983
53,0.1,0.55,1.8912,1.7757220000000002,0.11547799999999975
54,0.1,0.6000000000000001,1.9274,1.9024640000000006,0.024935999999999403
55,0.1,0.65,1.9926,2.0292060000000003,0.03660600000000036
56,0.1,0.7000000000000001,2.199,2.1559480000000004,0.043051999999999424
57,0.1,0.75,2.2924,2.2826900000000006,0.009709999999999663
58,0.1,0.8,2.4842,2.4094320000000007,0.07476799999999928
59,0.1,0.8500000000000001,2.5394,2.536174000000001,0.003225999999999285
60,0.1,0.9,2.6726,2.6629160000000005,0.009683999999999582
61,0.1,0.9500000000000001,2.8346,2.789658,0.044941999999999815
62,0.1,1.0,2.8928,2.9164000000000003,0.02360000000000051
63,0.15000000000000002,0.0,0.5754,0.5723400000000001,0.0030599999999999516
64,0.15000000000000002,0.05,0.6968,0.6969680000000001,0.00016800000000016801
65,0.15000000000000002,0.1,0.8448,0.8215960000000002,0.02320399999999978
66,0.15000000000000002,0.15000000000000002,0.9274,0.9462240000000001,0.018824000000000063
67,0.15000000000000002,0.2,1.1292,1.0708520000000004,0.05834799999999962
68,0.15000000000000002,0.25,1.267,1.19548,0.0715199999999998
69,0.15000000000000002,0.30000000000000004,1.2864,1.3201080000000003,0.03370800000000029
70,0.15000000000000002,0.35000000000000003,1.4506,1.4447360000000002,0.005863999999999647
71,0.15000000000000002,0.4,1.5728,1.5693640000000002,0.0034359999999997726
72,0.15000000000000002,0.45,1.6596,1.6939920000000002,0.0343920000000002
73,0.15000000000000002,0.5,1.8212,1.8186200000000001,0.0025799999999998047
74,0.15000000000000002,0.55,1.9558,1.9432480000000003,0.012551999999999675
75,0.15000000000000002,0.6000000000000001,2.0522,2.067876,0.015676000000000023
76,0.15000000000000002,0.65,2.3006,2.192504,0.10809600000000019
77,0.15000000000000002,0.7000000000000001,2.2988,2.3171320000000004,0.01833200000000046
78,0.15000000000000002,0.75,2.4526,2.4417600000000004,0.010839999999999517
79,0.15000000000000002,0.8,2.614,2.566388000000001,0.0476119999999991
80,0.15000000000000002,0.8500000000000001,2.706,2.6910160000000003,0.014983999999999664
81,0.15000000000000002,0.9,2.87,2.8156440000000003,0.05435599999999985
82,0.15000000000000002,0.9500000000000001,2.965,2.9402720000000007,0.024727999999999195
83,0.15000000000000002,1.0,3.0556,3.0649,0.009300000000000086
84,0.2,0.0,0.7416,0.76312,0.021519999999999984
85,0.2,0.05,0.9044,0.8856339999999999,0.01876600000000006
86,0.2,0.1,1.0322,1.008148,0.024051999999999962
87,0.2,0.15000000000000002,1.1654,1.1306620000000003,0.034737999999999714
88,0.2,0.2,1.3138,1.2531760000000003,0.06062399999999979
89,0.2,0.25,1.3806,1.37569,0.00490999999999997
90,0.2,0.30000000000000004,1.5128,1.4982040000000003,0.01459599999999961
91,0.2,0.35000000000000003,1.646,1.620718,0.025281999999999805
92,0.2,0.4,1.732,1.7432320000000003,0.011232000000000353
93,0.2,0.45,1.8738,1.8657460000000001,0.008053999999999784
94,0.2,0.5,2.0026,1.9882600000000001,0.01434000000000002
95,0.2,0.55,2.1182,2.110774,0.007425999999999711
96,0.2,0.6000000000000001,2.232,2.233288000000001,0.001288000000000622
97,0.2,0.65,2.3728,2.355802,0.016997999999999625
98,0.2,0.7000000000000001,2.5126,2.4783160000000004,0.03428399999999954
99,0.2,0.75,2.6254,2.6008300000000006,0.024569999999999315
100,0.2,0.8,2.7324,2.723344000000001,0.009055999999999287
101,0.2,0.8500000000000001,2.7928,2.8458580000000007,0.053058000000000494
102,0.2,0.9,2.994,2.9683720000000005,0.025627999999999762
103,0.2,0.9500000000000001,3.146,3.0908860000000007,0.05511399999999922
104,0.2,1.0,3.255,3.2134,0.04159999999999986
105,0.25,0.0,0.9418,0.9539,0.0121
106,0.25,0.05,1.0864,1.0743,0.0121
107,0.25,0.1,1.1994,1.1947,0.0046999999999999265
108,0.25,0.15000000000000002,1.2858,1.3151000000000002,0.029300000000000104
109,0.25,0.2,1.4742,1.4355000000000002,0.038699999999999735
110,0.25,0.25,1.5608,1.5559,0.004899999999999904
111,0.25,0.30000000000000004,1.6436,1.6763000000000001,0.03270000000000017
112,0.25,0.35000000000000003,1.7654,1.7967,0.031299999999999883
113,0.25,0.4,1.9168,1.9171000000000002,0.000300000000000189
114,0.25,0.45,2.0616,2.0375000000000005,0.024099999999999344
115,0.25,0.5,2.1014,2.1579,0.05650000000000022
116,0.25,0.55,2.3022,2.2783,0.02389999999999981
117,0.25,0.6000000000000001,2.3684,2.3987000000000003,0.030300000000000438
118,0.25,0.65,2.4526,2.5191,0.0665
119,0.25,0.7000000000000001,2.6062,2.6395,0.03330000000000011
120,0.25,0.75,2.7634,2.7599,0.0034999999999998366
121,0.25,0.8,2.8316,2.8803000000000005,0.04870000000000063
122,0.25,0.8500000000000001,3.001,3.0007,0.0002999999999997449
123,0.25,0.9,3.1604,3.1211,0.03929999999999989
124,0.25,0.9500000000000001,3.2482,3.2415000000000003,0.006699999999999928
125,0.25,1.0,3.4156,3.3619000000000003,0.05369999999999964
126,0.30000000000000004,0.0,1.1352,1.1446800000000001,0.009480000000000155
127,0.30000000000000004,0.05,1.2796,1.2629660000000003,0.016633999999999816
128,0.30000000000000004,0.1,1.335,1.3812520000000004,0.046252000000000404
129,0.30000000000000004,0.15000000000000002,1.527,1.499538,0.027461999999999875
130,0.30000000000000004,0.2,1.636,1.6178240000000004,0.018175999999999526
131,0.30000000000000004,0.25,1.699,1.73611,0.037109999999999976
132,0.30000000000000004,0.30000000000000004,1.8802,1.8543960000000004,0.025803999999999716
133,0.30000000000000004,0.35000000000000003,1.982,1.9726820000000003,0.009317999999999715
134,0.30000000000000004,0.4,2.0992,2.090968,0.008232000000000017
135,0.30000000000000004,0.45,2.1952,2.2092540000000005,0.014054000000000677
136,0.30000000000000004,0.5,2.3434,2.32754,0.015859999999999985
137,0.30000000000000004,0.55,2.4366,2.4458260000000003,0.0092260000000004
138,0.30000000000000004,0.6000000000000001,2.5452,2.5641120000000006,0.018912000000000706
139,0.30000000000000004,0.65,2.7008,2.682398,0.01840200000000003
140,0.30000000000000004,0.7000000000000001,2.814,2.8006840000000004,0.013315999999999661
141,0.30000000000000004,0.75,2.919,2.9189700000000003,2.9999999999752447e-05
142,0.30000000000000004,0.8,3.0284,3.037256,0.008856000000000197
143,0.30000000000000004,0.8500000000000001,3.1974,3.1555420000000005,0.04185799999999951
144,0.30000000000000004,0.9,3.3082,3.273828000000001,0.03437199999999896
145,0.30000000000000004,0.9500000000000001,3.3828,3.3921140000000007,0.00931400000000071
146,0.30000000000000004,1.0,3.5146,3.5104000000000006,0.0041999999999995374
147,0.35000000000000003,0.0,1.3358,1.33546,0.00034000000000000696
148,0.35000000000000003,0.05,1.4548,1.451632,0.0031680000000000597
149,0.35000000000000003,0.1,1.5786,1.5678040000000002,0.010795999999999806
150,0.35000000000000003,0.15000000000000002,1.7256,1.6839760000000004,0.04162399999999966
151,0.35000000000000003,0.2,1.7614,1.800148,0.038748000000000005
152,0.35000000000000003,0.25,1.9856,1.91632,0.06928000000000001
153,0.35000000000000003,0.30000000000000004,2.0152,2.032492,0.017291999999999863
154,0.35000000000000003,0.35000000000000003,2.1914,2.148664,0.04273599999999966
155,0.35000000000000003,0.4,2.2384,2.2648360000000003,0.026436000000000348
156,0.35000000000000003,0.45,2.4174,2.3810080000000005,0.03639199999999976
157,0.35000000000000003,0.5,2.5216,2.49718,0.024419999999999664
158,0.35000000000000003,0.55,2.6082,2.613352,0.005151999999999823
159,0.35000000000000003,0.6000000000000001,2.7874,2.7295240000000005,0.05787599999999937
160,0.35000000000000003,0.65,2.815,2.8456960000000002,0.03069600000000028
161,0.35000000000000003,0.7000000000000001,2.9532,2.9618680000000004,0.008668000000000564
162,0.35000000000000003,0.75,3.077,3.07804,0.001040000000000152
163,0.35000000000000003,0.8,3.2164,3.194212,0.02218800000000032
164,0.35000000000000003,0.8500000000000001,3.3268,3.310384,0.016415999999999986
165,0.35000000000000003,0.9,3.4718,3.4265560000000006,0.045243999999999396
166,0.35000000000000003,0.9500000000000001,3.5724,3.5427280000000003,0.0296719999999997
167,0.35000000000000003,1.0,3.692,3.6589,0.03310000000000013
168,0.4,0.0,1.5132,1.52624,0.01303999999999994
169,0.4,0.05,1.6304,1.6402979999999998,0.00989799999999974
170,0.4,0.1,1.7582,1.7543560000000002,0.0038439999999997365
171,0.4,0.15000000000000002,1.9126,1.8684140000000002,0.044185999999999837
172,0.4,0.2,1.968,1.9824720000000002,0.014472000000000262
173,0.4,0.25,2.1224,2.0965300000000004,0.025869999999999393
174,0.4,0.30000000000000004,2.2554,2.210588,0.04481199999999985
175,0.4,0.35000000000000003,2.3232,2.324646,0.0014460000000000583
176,0.4,0.4,2.4268,2.438704,0.011903999999999915
177,0.4,0.45,2.6132,2.5527620000000004,0.06043799999999955
178,0.4,0.5,2.7714,2.6668200000000004,0.10457999999999945
179,0.4,0.55,2.8012,2.7808780000000004,0.02032199999999973
180,0.4,0.6000000000000001,2.9574,2.8949360000000004,0.06246399999999941
181,0.4,0.65,3.025,3.0089940000000004,0.01600599999999952
182,0.4,0.7000000000000001,3.0886,3.1230520000000004,0.03445200000000037
183,0.4,0.75,3.1996,3.2371100000000004,0.037510000000000154
184,0.4,0.8,3.4358,3.3511680000000004,0.0846319999999996
185,0.4,0.8500000000000001,3.4926,3.465226000000001,0.02737399999999912
186,0.4,0.9,3.6172,3.5792840000000004,0.03791599999999962
187,0.4,0.9500000000000001,3.7058,3.6933420000000003,0.012457999999999636
188,0.4,1.0,3.8242,3.8074000000000003,0.016799999999999482
189,0.45,0.0,1.7334,1.71702,0.01638000000000006
190,0.45,0.05,1.891,1.828964,0.06203599999999998
191,0.45,0.1,1.9584,1.940908,0.01749199999999984
192,0.45,0.15000000000000002,2.019,2.052852,0.03385199999999999
193,0.45,0.2,2.2108,2.1647960000000004,0.04600399999999949
194,0.45,0.25,2.2258,2.27674,0.05094000000000021
195,0.45,0.30000000000000004,2.3958,2.3886840000000005,0.007115999999999456
196,0.45,0.35000000000000003,2.5258,2.500628,0.025171999999999972
197,0.45,0.4,2.6968,2.6125720000000006,0.08422799999999953
198,0.45,0.45,2.6378,2.7245160000000004,0.08671600000000046
199,0.45,0.5,2.8782,2.83646,0.04173999999999989
200,0.45,0.55,2.9734,2.9484040000000005,0.024995999999999352
201,0.45,0.6000000000000001,3.0728,3.0603480000000003,0.012451999999999686
202,0.45,0.65,3.2012,3.1722920000000006,0.02890799999999949
203,0.45,0.7000000000000001,3.3234,3.284236000000001,0.03916399999999909
204,0.45,0.75,3.432,3.3961800000000006,0.0358199999999993
205,0.45,0.8,3.5136,3.5081240000000005,0.00547599999999937
206,0.45,0.8500000000000001,3.6428,3.6200680000000003,0.02273199999999953
207,0.45,0.9,3.7702,3.732012,0.03818799999999989
208,0.45,0.9500000000000001,3.854,3.8439560000000004,0.01004399999999972
209,0.45,1.0,3.9696,3.9559000000000006,0.013699999999999157
